SPOT,AGE,SEX,Total accommodation fee,Total transportation cost,Number_of_people,Accommodation
177,2,1,99,2,1,1
202,2,1,106,2,1,1
6,2,0,0,1,1,0
36,1,1,0,1,2,0
40,2,1,0,1,1,0
0,1,1,0,1,0,1
164,2,0,0,1,1,0
155,3,0,0,1,1,0
40,5,1,0,1,1,0
8,3,1,0,1,3,0
201,1,1,107,3,2,1
43,1,1,0,1,3,0
155,3,0,0,1,3,0
187,3,1,0,0,3,0
149,2,1,0,1,0,0
17,2,0,0,1,2,1
84,3,0,145,2,2,1
118,1,1,0,2,1,1
202,5,1,0,0,2,1
175,2,1,57,1,2,1
0,3,0,67,1,1,1
18,1,0,57,1,2,1
177,3,0,166,2,3,1
164,1,0,89,1,1,1
3,1,1,141,2,1,1
202,4,1,0,0,1,1
68,3,1,120,1,2,1
155,2,1,20,1,2,1
4,4,1,175,1,1,1
16,5,0,94,2,1,1
3,4,1,41,2,2,1
216,3,1,0,0,3,0
11,5,0,0,0,0,0
8,1,1,0,1,1,0
62,5,1,58,2,1,1
166,3,0,0,2,3,1
123,1,0,0,2,1,1
26,3,1,0,1,2,0
36,2,0,0,1,1,0
15,4,1,0,1,3,1
15,3,1,0,1,3,0
35,4,0,0,1,2,0
4,1,1,41,1,1,1
44,1,0,0,1,2,0
202,6,0,0,0,2,1
202,1,0,0,0,2,1
2,2,0,82,2,2,1
201,3,0,0,0,2,1
53,1,1,166,2,1,1
123,2,1,199,2,2,1
118,1,0,82,2,1,1
202,5,0,0,1,1,1
0,1,1,0,1,1,1
228,2,1,0,1,1,0
77,2,0,0,1,3,0
6,1,0,0,1,3,0
220,4,0,0,1,0,0
215,5,1,0,1,4,0
36,2,1,0,1,2,0
164,1,1,0,1,2,0
18,3,1,0,1,1,0
4,2,0,0,1,2,0
6,2,1,0,1,1,0
46,1,1,37,1,1,1
6,4,0,30,1,1,1
12,5,0,0,1,1,0
201,2,0,67,2,2,1
15,2,1,0,1,1,0
46,1,0,0,1,1,0
4,1,1,0,1,1,0
36,1,1,0,1,1,0
155,3,0,0,1,1,0
48,2,0,0,1,1,0
123,1,1,0,2,1,0
54,3,0,0,2,3,0
68,1,0,114,3,3,1
101,2,1,17,1,2,1
6,1,0,49,1,1,1
202,2,1,82,2,1,1
46,3,1,0,1,2,0
0,1,1,53,2,1,1
46,3,1,0,1,3,0
36,3,0,0,1,1,0
202,3,1,128,3,2,1
4,2,0,63,2,1,1
2,4,0,70,1,2,1
31,4,1,0,1,1,0
216,4,1,0,1,1,0
4,1,0,67,2,1,1
155,4,0,0,1,3,0
18,4,1,0,1,1,0
68,2,0,106,1,1,1
217,4,0,0,1,2,1
3,1,0,94,1,1,1
12,1,0,0,1,2,0
119,2,1,82,2,2,1
105,2,1,0,1,1,0
46,5,0,11,1,3,1
18,1,0,0,1,3,0
48,3,0,0,1,3,0
201,3,1,124,3,3,1
207,4,0,0,1,1,0
43,1,1,0,1,2,0
46,5,1,0,1,2,0
18,3,0,0,1,3,0
44,1,0,0,1,2,0
18,3,0,0,1,3,0
45,4,1,0,1,1,0
40,1,1,0,1,3,0
18,2,1,0,1,2,0
18,3,1,0,1,3,0
61,1,1,107,1,2,1
6,2,0,0,1,1,0
6,4,1,0,1,2,0
0,3,1,0,1,3,0
9,3,0,0,1,3,0
12,3,1,0,1,2,0
47,2,1,0,1,3,0
0,1,0,0,1,2,0
18,3,1,0,1,2,0
177,4,0,106,2,4,1
40,1,0,0,1,1,0
18,6,1,0,1,8,0
18,1,1,0,1,1,0
36,2,1,0,1,1,0
208,3,1,58,1,3,1
213,4,0,41,1,3,1
18,2,1,0,1,2,0
29,4,1,0,1,2,0
37,3,0,0,1,3,0
20,5,1,0,1,1,0
36,1,0,0,1,3,0
213,3,1,67,1,3,1
0,4,1,82,1,3,1
22,5,1,0,1,3,0
26,3,1,0,1,2,0
20,1,1,0,1,1,0
36,1,0,0,1,1,0
105,2,0,0,1,2,0
213,3,0,41,1,3,1
36,5,0,0,1,3,0
46,2,1,0,1,1,0
155,4,0,0,1,3,0
164,1,1,0,1,3,0
210,5,0,58,1,3,1
26,5,1,0,1,2,0
42,4,1,0,1,0,0
12,5,1,0,1,3,0
26,2,0,0,1,2,0
46,2,1,0,1,1,0
46,1,1,0,1,3,0
30,1,0,0,1,1,0
46,4,0,0,1,3,0
22,3,0,0,1,2,0
42,5,1,0,1,1,0
46,3,1,0,1,3,0
46,2,1,0,1,3,0
36,1,1,0,1,3,0
33,4,0,0,1,3,0
46,3,0,0,1,3,0
36,5,0,0,1,2,0
12,2,1,0,1,2,0
12,1,0,0,1,1,0
18,6,1,0,1,2,0
12,4,1,0,1,2,0
36,2,1,0,1,2,0
29,4,0,0,1,2,0
26,4,1,0,1,3,0
33,3,1,0,1,3,0
20,1,0,0,1,1,0
224,1,1,0,1,2,0
18,2,0,0,1,1,0
202,3,1,107,2,2,1
4,3,1,134,2,3,1
2,1,1,21,1,1,1
24,3,0,0,1,3,0
20,1,0,0,1,1,0
202,1,1,124,2,1,1
68,1,1,0,1,4,0
18,3,1,0,1,3,0
26,2,1,0,1,3,0
18,4,1,0,1,3,0
38,2,0,0,1,4,0
155,3,0,0,1,3,0
0,4,0,99,2,4,1
35,6,0,0,1,1,0
201,5,1,141,3,3,1
105,2,1,82,2,3,1
19,2,0,0,1,1,0
107,5,0,114,2,4,1
18,4,1,0,1,3,0
59,3,0,89,2,3,1
201,4,1,144,5,3,1
12,4,0,67,2,3,1
164,3,1,0,1,4,0
201,5,1,166,5,4,1
0,4,1,82,2,3,1
26,5,0,0,1,1,0
202,3,1,150,4,3,1
96,4,0,114,2,4,1
35,6,1,0,1,4,0
36,4,1,0,1,4,0
35,3,0,0,1,2,0
96,3,1,71,2,3,1
201,5,1,168,5,5,1
0,1,1,0,1,4,0
18,5,1,0,1,3,0
164,3,1,0,1,3,0
18,2,0,0,1,1,0
0,5,0,25,1,7,1
18,2,1,0,1,4,0
26,4,1,0,1,1,0
0,3,0,0,1,3,0
68,5,0,21,1,4,1
163,6,0,0,1,4,0
0,1,1,0,1,4,0
38,1,1,0,1,4,0
18,4,1,0,1,4,0
38,1,1,0,1,1,0
36,4,0,0,1,3,0
25,3,1,0,1,3,0
164,5,1,0,1,4,0
18,1,0,0,1,3,0
18,4,1,0,1,4,0
0,2,0,0,1,4,0
47,5,0,0,1,3,0
190,2,1,124,1,3,1
12,1,1,0,1,1,0
33,2,1,0,1,4,0
0,2,0,0,1,3,0
164,4,0,0,1,3,0
18,1,0,0,1,4,0
15,1,1,0,1,3,0
208,4,1,0,1,4,0
38,1,1,0,1,3,0
15,4,1,0,1,4,0
18,2,0,0,1,3,0
0,2,1,0,1,4,0
155,3,1,0,1,3,0
38,6,1,0,1,4,0
68,2,0,25,1,5,1
36,3,1,0,1,3,0
155,1,1,0,1,7,0
219,2,1,0,1,4,0
46,3,0,0,1,9,0
18,4,1,0,1,4,0
105,2,1,0,1,2,0
177,4,0,99,1,1,1
224,2,0,67,2,2,1
26,1,1,0,1,2,0
30,3,0,0,1,3,0
19,4,0,0,1,1,0
4,5,1,58,2,3,1
6,4,0,120,1,3,1
89,3,0,141,2,9,1
216,3,0,147,2,6,1
26,2,0,0,1,1,0
46,4,0,0,1,1,0
4,4,1,141,2,5,1
12,5,0,0,1,1,0
119,1,1,120,2,1,1
14,3,0,166,2,3,1
36,4,1,98,1,6,1
202,4,1,195,4,5,1
202,1,0,175,3,2,1
1,4,0,167,2,6,1
202,5,1,0,0,30,1
73,4,1,41,1,1,1
201,5,1,166,2,4,1
