SPOT,AGE,SEX,Total accommodation fee,Total transportation cost,Number_of_people,Accommodation
176,3,0,0,1,3,0
172,1,1,0,1,1,0
117,2,1,67,1,3,1
171,1,0,30,1,3,1
182,4,0,0,1,1,1
199,2,1,0,1,2,0
175,4,0,0,1,4,0
176,3,0,134,1,7,1
62,2,1,41,1,1,1
170,3,0,67,1,3,1
172,1,1,58,1,1,1
177,3,0,0,1,4,0
194,2,1,0,1,3,1
178,3,1,0,1,4,0
177,2,0,0,1,2,0
189,1,1,41,1,3,1
175,3,1,82,1,2,1
177,2,1,0,1,0,0
181,4,1,107,2,2,1
177,2,0,0,2,0,0
63,4,1,144,1,3,1
199,5,0,0,1,3,0
4,3,0,99,2,3,1
191,2,0,118,1,3,1
171,2,0,0,1,2,0
181,4,1,0,1,3,0
184,3,1,0,1,3,0
179,4,1,0,1,2,0
187,1,1,0,1,1,0
176,2,1,0,1,1,0
171,4,0,0,1,3,0
175,2,0,0,1,1,0
178,4,1,0,1,2,0
206,1,1,0,1,1,0
227,4,1,0,1,3,0
208,1,0,49,1,1,1
206,2,0,0,1,1,0
204,3,0,0,1,1,0
192,2,1,58,1,1,1
222,1,0,0,1,0,1
206,3,1,0,1,1,0
206,2,0,0,1,3,0
222,5,0,0,1,1,0
198,1,1,67,1,3,1
222,2,0,0,1,2,0
202,3,1,150,3,4,1
227,2,0,0,1,0,0
204,3,0,0,1,1,0
191,3,0,0,1,3,0
183,5,1,162,2,3,1
216,4,0,89,1,3,1
204,4,0,0,1,1,0
169,5,1,0,1,1,0
188,4,1,0,1,2,0
205,5,0,0,1,2,0
208,3,1,0,1,3,0
0,4,1,183,2,1,1
208,2,0,0,1,2,0
200,4,0,0,1,1,0
216,4,1,106,1,3,1
204,3,1,0,1,5,0
213,4,0,58,1,3,1
208,2,0,82,1,1,1
222,5,1,0,1,3,0
204,4,1,0,1,4,0
191,3,1,0,1,1,1
192,4,1,41,1,1,1
208,1,1,0,1,3,0
211,3,0,0,1,2,0
204,5,0,0,1,3,0
198,3,0,0,1,1,0
208,4,0,124,1,4,1
205,3,0,0,1,2,0
222,3,1,0,1,1,0
220,2,1,0,1,1,0
201,2,0,63,2,1,1
208,3,0,0,2,7,0
110,4,0,120,2,1,1
219,4,0,80,1,3,1
190,4,1,0,1,3,0
4,4,1,82,1,3,1
221,4,0,0,1,3,0
202,3,1,82,4,3,1
14,1,0,0,2,1,1
208,3,0,0,1,1,0
202,2,0,118,2,1,1
202,1,1,82,2,1,1
221,5,0,0,1,4,0
123,2,1,0,1,1,0
162,4,1,0,1,1,1
113,4,0,30,1,1,1
206,5,0,0,1,2,0
202,3,1,82,4,2,1
208,1,1,0,1,1,0
201,4,0,151,2,2,1
78,2,1,42,1,2,1
211,3,0,0,1,2,0
192,1,0,106,1,3,1
205,4,0,0,1,5,0
208,2,1,67,1,1,1
199,3,1,107,2,2,1
67,4,0,25,1,3,1
208,1,0,0,1,1,0
198,1,1,0,1,1,0
202,3,1,124,3,3,1
218,5,0,0,1,1,0
220,4,1,0,1,1,0
222,1,0,0,1,1,0
62,5,0,0,2,7,0
45,3,0,0,1,2,0
206,5,1,0,1,2,0
209,3,1,0,1,2,0
221,3,0,0,1,2,1
228,1,1,0,1,1,0
202,3,1,171,3,3,1
202,2,0,71,2,1,1
205,6,1,0,1,4,0
198,1,1,41,1,1,1
198,2,0,42,1,1,1
191,3,0,0,1,3,0
227,5,0,0,1,1,1
201,1,1,67,2,3,1
86,3,1,0,1,3,0
204,3,1,0,1,1,0
53,2,0,30,1,1,1
211,4,1,82,1,1,1
65,4,0,0,1,1,0
191,2,0,141,1,3,1
204,2,0,0,1,1,0
208,5,0,0,1,1,0
201,4,1,58,2,1,1
62,3,0,30,1,1,1
192,2,1,106,1,3,1
208,1,1,82,1,3,1
210,1,0,0,1,0,1
205,4,0,0,1,3,0
204,2,0,0,1,3,0
188,1,0,0,1,2,0
204,3,1,0,1,3,0
210,1,1,0,1,2,0
207,4,1,0,1,2,0
227,4,0,0,1,1,0
102,2,1,0,1,2,0
201,2,0,154,3,2,1
110,4,0,100,2,1,1
216,3,0,106,1,3,1
224,1,1,118,1,3,1
216,1,0,105,1,5,1
212,1,0,0,1,1,0
40,2,1,0,1,2,0
212,2,0,58,1,3,1
220,3,1,0,1,2,0
227,3,0,0,1,3,1
149,2,1,0,1,1,0
149,3,1,0,1,2,1
205,3,0,0,1,3,0
202,3,1,88,2,2,1
199,2,0,0,1,1,0
208,3,0,0,1,2,0
149,2,1,0,1,1,0
204,6,1,0,1,2,0
222,2,1,0,1,3,0
208,2,0,0,1,3,0
221,3,0,0,1,3,0
123,2,0,41,1,1,1
191,3,0,106,1,3,1
216,2,1,67,1,2,1
205,3,1,0,1,1,0
208,1,1,58,1,3,1
198,2,0,0,1,3,1
211,3,1,0,1,2,0
201,2,1,141,3,2,1
198,5,0,0,1,1,0
218,5,0,0,1,1,1
12,4,1,0,1,1,1
202,3,1,57,3,2,1
198,4,1,0,1,1,0
212,3,0,0,1,0,0
222,2,0,0,1,1,0
133,1,1,0,1,1,1
216,5,1,124,1,3,1
220,5,0,0,1,3,1
4,2,0,166,1,1,1
198,3,1,0,1,1,0
219,3,1,58,2,3,1
3,5,1,0,1,1,0
213,4,0,106,1,3,1
87,3,1,110,1,1,1
191,3,0,25,1,1,1
220,1,0,0,1,1,1
204,5,1,0,1,1,0
12,4,0,25,1,1,1
222,1,0,0,1,1,0
209,4,1,0,1,2,0
204,1,0,0,1,1,0
214,3,1,0,1,2,1
169,4,1,57,1,2,1
211,6,0,0,1,1,0
208,1,1,49,1,2,1
198,2,0,30,1,2,1
198,5,0,0,1,1,0
201,1,0,150,3,3,1
225,3,0,67,1,2,1
220,5,1,0,1,3,1
210,4,1,0,1,1,0
208,3,1,99,1,3,1
200,5,0,0,1,3,0
213,3,0,0,1,3,1
216,2,0,0,1,1,0
209,1,0,0,1,1,0
202,1,0,213,3,3,1
124,4,0,0,1,0,0
208,2,0,57,1,2,1
177,3,1,150,2,3,1
149,4,1,0,1,3,0
205,3,0,0,1,3,0
214,2,0,0,1,1,0
121,1,1,49,1,1,1
190,3,1,0,1,3,0
208,2,0,107,1,2,1
204,5,0,0,1,3,0
219,3,0,106,1,3,1
18,1,1,150,1,3,1
227,1,0,15,1,3,1
227,1,1,0,1,2,0
221,3,0,0,1,1,0
198,2,1,0,1,1,0
208,2,0,123,1,2,1
192,1,1,106,1,3,1
188,4,0,141,2,3,1
215,3,0,0,1,2,1
227,2,0,0,1,1,0
227,3,1,0,1,3,0
205,5,0,0,1,1,0
214,3,1,0,1,2,0
149,2,0,0,1,0,0
62,4,0,0,1,1,1
192,4,1,30,1,1,1
40,3,1,37,1,3,1
9,4,1,67,2,2,1
171,3,0,67,1,3,1
149,1,0,17,1,2,1
191,3,0,99,1,3,1
219,4,1,124,1,4,1
149,2,1,0,1,1,0
200,3,0,0,1,3,0
204,4,1,0,1,1,0
208,4,0,141,1,3,1
202,2,1,106,2,1,1
202,2,0,134,2,1,1
220,4,0,0,1,3,1
208,3,1,0,1,3,0
177,3,1,71,1,3,1
191,2,0,106,1,3,1
59,3,0,0,1,3,0
201,4,1,123,4,2,1
222,2,0,82,1,2,1
62,3,0,82,2,2,1
0,2,1,107,1,2,1
216,3,0,0,1,3,0
130,5,0,0,1,1,1
204,4,1,0,1,1,0
146,0,1,0,1,1,0
149,2,1,0,1,1,0
205,4,0,0,1,1,0
206,3,0,0,1,1,0
214,5,1,0,1,4,1
204,4,1,0,1,3,0
188,4,0,0,1,1,0
208,2,0,183,1,3,1
200,3,1,0,1,3,0
202,2,1,82,2,1,1
205,3,0,0,1,2,0
198,2,1,0,1,1,0
219,3,1,22,1,2,1
68,3,1,28,1,2,1
187,2,0,0,1,4,0
70,3,0,0,1,2,0
198,3,1,0,1,2,0
215,2,1,0,1,2,0
201,3,0,138,3,2,1
30,2,1,0,1,2,1
208,1,0,0,1,3,0
209,4,1,0,1,1,0
204,3,0,0,1,3,0
0,4,0,0,2,2,0
205,4,0,40,1,5,1
4,1,0,25,1,1,1
208,2,0,0,1,2,0
222,4,1,0,1,2,0
219,3,0,29,1,4,1
213,1,1,0,1,1,0
221,4,0,0,1,4,0
205,5,1,105,1,5,1
205,3,1,0,1,3,0
208,1,1,99,1,3,1
218,2,0,82,1,1,1
206,6,0,0,1,3,0
190,5,0,106,1,3,1
211,1,0,0,1,3,0
226,2,0,0,1,3,1
218,3,0,0,1,3,0
0,2,1,0,1,1,1
202,4,1,123,2,2,1
208,4,1,0,1,3,0
202,1,0,82,2,1,1
211,3,0,0,1,1,0
208,2,1,0,1,3,0
205,4,1,0,1,2,0
208,3,0,42,1,2,1
204,3,1,0,1,3,0
204,2,1,0,1,2,0
177,4,0,25,1,1,1
149,4,0,0,1,2,1
214,3,0,0,1,2,0
206,1,1,0,1,1,0
204,3,1,0,1,3,0
204,2,1,0,1,1,0
192,3,0,0,1,2,0
228,4,0,0,1,1,1
205,2,0,0,1,2,0
209,3,1,0,1,1,0
210,6,0,0,1,2,0
191,2,0,0,2,2,1
177,3,0,82,2,3,1
211,3,1,0,1,3,0
216,3,0,124,1,3,1
222,4,1,0,1,3,0
59,2,1,37,1,1,1
192,4,1,30,2,1,1
12,1,0,0,1,0,1
81,3,1,0,1,1,1
14,4,0,141,2,3,1
213,1,1,0,1,1,0
37,5,1,0,1,3,1
222,2,0,0,1,0,1
149,4,0,44,1,1,1
198,2,0,0,1,2,1
149,2,1,0,1,1,0
211,5,0,0,1,3,0
12,2,1,0,1,1,0
211,3,0,0,1,3,0
216,2,0,41,1,1,1
194,5,0,0,1,1,0
209,4,0,0,1,1,0
121,1,1,58,2,1,1
162,2,1,0,2,1,1
177,3,1,0,2,2,0
53,4,1,37,1,1,1
216,4,0,30,1,1,1
222,3,0,0,1,3,0
48,2,1,0,1,3,1
221,4,0,0,1,1,0
40,3,0,0,1,3,0
205,4,1,0,1,1,0
206,3,1,0,1,0,0
188,2,1,0,1,1,0
53,2,0,25,1,3,1
149,4,1,0,1,1,0
220,5,0,0,1,0,1
204,3,1,0,1,1,0
201,2,0,150,4,1,1
198,3,1,0,1,2,0
222,1,0,0,1,2,0
202,2,1,123,3,2,1
206,4,1,0,1,2,0
198,5,0,0,1,1,0
149,3,1,0,1,3,0
208,3,0,0,1,3,0
207,1,0,0,1,1,0
220,5,1,0,1,3,0
206,4,0,0,1,3,0
208,1,0,0,1,3,0
191,3,0,0,1,3,0
200,3,1,0,1,3,0
215,4,0,0,1,1,0
149,1,1,0,1,1,0
222,5,1,0,1,3,0
205,6,1,0,1,1,1
30,3,0,0,1,1,0
219,6,0,103,1,5,1
206,2,0,0,1,0,0
213,4,0,0,1,1,0
205,3,1,0,1,2,0
191,2,0,0,1,9,1
208,2,0,0,1,2,0
188,5,1,0,1,2,0
169,4,1,0,1,2,0
176,3,1,0,1,4,0
208,2,0,0,1,2,0
6,1,1,82,1,1,1
191,5,1,0,1,4,0
202,4,1,106,2,1,1
213,3,0,0,1,3,1
216,4,1,0,1,2,0
68,2,1,82,1,3,1
216,2,0,71,1,3,1
213,3,0,0,1,3,0
205,3,1,0,1,3,0
209,4,1,0,1,2,1
208,5,0,82,1,3,1
202,3,1,106,3,3,1
62,3,0,150,1,3,1
217,4,0,0,1,1,0
68,1,1,0,1,1,0
4,3,0,82,2,2,1
211,2,0,0,1,2,0
208,1,0,0,1,2,0
216,3,0,166,1,3,1
220,4,1,0,1,1,1
224,3,1,82,1,2,1
220,0,1,0,1,3,0
177,2,1,67,2,1,1
208,4,1,0,1,1,0
191,1,0,0,1,3,0
219,2,1,107,2,2,1
211,3,0,0,1,3,0
220,3,1,0,1,3,0
224,1,0,0,1,1,0
204,3,0,0,1,1,0
205,3,1,0,1,0,0
208,2,1,141,1,1,1
216,1,0,178,1,3,1
208,5,1,148,1,3,1
206,1,1,0,1,1,0
204,2,1,0,1,3,0
149,4,0,0,1,0,0
204,2,1,0,1,2,0
72,3,1,0,1,1,1
208,4,0,25,1,1,1
149,2,0,0,1,1,0
227,3,1,0,1,2,1
183,4,1,123,2,2,1
3,3,0,114,1,3,1
110,1,1,158,2,3,1
213,6,0,0,1,3,0
213,3,0,49,1,1,1
208,2,1,0,1,2,0
149,4,0,0,1,2,0
224,2,1,0,1,1,1
204,2,0,0,1,1,0
200,2,1,0,1,1,0
149,2,0,0,1,2,0
204,3,0,0,1,2,0
206,3,1,0,1,3,0
211,3,1,0,1,2,0
220,3,0,0,1,3,0
201,2,0,158,3,4,1
68,2,1,82,1,1,1
169,4,1,0,1,2,0
211,4,1,0,1,1,0
141,2,0,0,1,1,0
7,4,0,0,1,1,1
132,2,1,0,1,1,0
30,1,1,0,1,1,1
216,2,1,26,1,2,1
192,4,1,25,1,1,1
227,5,0,0,1,1,0
227,5,1,0,1,1,0
206,2,0,0,1,1,0
86,3,1,0,1,3,0
0,2,1,114,1,1,1
202,1,0,127,2,1,1
198,2,0,0,1,1,0
175,5,0,0,1,1,0
202,2,1,30,2,3,1
208,3,1,0,1,3,0
200,4,0,124,1,3,1
204,1,1,67,1,2,1
177,2,1,106,1,1,1
18,3,1,150,1,3,1
219,5,0,0,1,3,0
209,4,1,0,1,2,0
210,3,0,0,1,3,0
209,2,1,0,1,2,0
219,5,0,106,2,3,1
220,3,1,37,1,3,1
208,2,1,0,1,1,0
222,3,0,0,1,2,0
185,4,1,71,2,4,1
0,2,1,123,2,2,1
208,3,1,0,1,2,0
204,5,0,0,1,2,0
206,3,0,0,1,3,0
53,4,1,106,2,3,1
68,5,0,58,1,3,1
220,2,0,0,1,1,0
210,4,1,0,1,2,0
62,3,0,0,1,3,0
49,4,0,58,1,1,1
204,2,1,0,1,2,0
89,3,0,0,1,2,0
208,2,0,0,1,2,0
121,3,1,101,1,2,1
53,5,1,0,1,3,0
149,5,0,0,1,3,0
191,1,0,67,1,3,1
177,3,0,67,2,1,1
216,2,1,99,1,2,1
201,1,0,166,3,3,1
222,5,0,0,1,1,0
205,2,0,0,1,3,0
205,3,1,0,1,3,0
207,2,0,82,1,2,1
3,5,0,82,2,3,1
204,1,1,0,1,2,0
226,4,1,0,1,2,0
72,4,1,0,1,1,1
215,5,1,25,1,1,1
204,2,0,0,1,1,0
204,5,1,0,1,2,0
205,4,1,0,1,2,0
204,1,1,0,1,3,0
206,2,0,67,1,1,1
206,4,0,0,1,1,0
222,3,1,0,1,3,0
210,1,0,25,1,0,1
207,4,0,0,1,0,0
203,2,0,0,0,0,0
206,2,1,0,0,1,0
205,1,1,0,1,1,0
206,3,1,0,1,3,0
204,4,1,0,1,1,0
219,1,0,12,1,2,1
208,5,0,0,1,1,0
220,2,0,0,1,9,0
204,1,1,0,1,0,0
204,2,1,0,1,0,0
199,3,0,0,1,2,0
227,2,0,0,1,1,0
208,3,0,63,1,3,1
194,3,1,0,1,1,0
149,2,1,0,1,1,0
192,1,1,82,1,4,1
208,1,0,20,1,2,1
194,4,1,164,1,8,1
201,2,0,128,3,2,1
208,2,1,0,1,2,0
201,1,1,110,2,1,1
219,2,0,49,1,1,1
216,1,1,0,0,3,1
57,4,0,0,1,1,0
191,1,0,0,0,3,1
207,3,1,0,0,3,1
221,2,0,0,1,0,0
208,3,0,0,0,2,1
208,2,0,0,1,1,0
201,3,0,57,2,2,1
224,1,1,0,1,2,0
219,1,0,0,0,3,1
215,3,0,0,0,2,1
208,4,1,0,0,2,1
211,2,1,0,0,3,1
210,2,0,0,1,0,0
220,4,0,0,0,3,0
210,5,0,0,0,3,0
4,5,0,141,1,2,1
172,1,1,30,1,1,1
19,2,0,0,1,1,1
227,4,0,0,1,3,0
0,2,1,107,2,2,1
81,3,1,0,1,1,0
72,3,0,0,1,2,0
212,2,0,0,1,1,0
228,5,1,0,1,4,0
32,1,1,58,1,1,1
220,3,0,0,1,3,1
208,2,0,0,1,1,0
149,3,0,0,1,1,0
141,3,1,0,1,3,0
217,5,0,0,1,1,0
188,4,1,0,1,3,1
78,6,1,0,1,5,0
207,2,0,0,1,2,0
62,4,0,166,2,3,1
215,5,0,0,1,1,0
222,3,1,0,1,1,0
204,4,1,0,1,2,0
210,1,0,0,1,1,0
206,3,1,0,1,3,0
201,1,1,178,3,3,1
222,2,1,0,1,1,0
4,5,0,78,2,3,1
208,4,0,0,1,3,0
198,1,1,0,1,1,0
227,5,1,0,1,2,0
208,4,1,0,1,1,0
212,2,0,25,1,1,1
202,3,1,0,0,4,1
218,2,1,0,1,1,0
222,3,0,0,1,1,0
204,2,0,0,1,1,0
190,3,0,68,1,3,1
208,3,1,44,1,1,1
202,4,0,141,2,2,1
198,2,0,0,1,3,0
221,4,1,0,1,1,0
222,3,1,0,1,3,0
209,3,0,0,1,2,0
206,4,0,0,1,3,0
204,5,1,0,1,2,0
204,3,1,0,1,3,0
227,6,1,0,1,3,0
201,4,1,124,2,4,1
227,4,0,0,1,1,0
208,3,0,67,1,3,1
208,3,1,0,1,1,0
188,1,0,0,1,2,0
4,1,0,41,1,1,1
202,3,0,141,4,3,1
208,1,1,49,1,3,1
217,4,1,0,1,1,0
218,5,1,30,1,3,1
219,5,1,41,1,1,1
213,2,0,0,1,3,0
205,3,1,0,1,2,0
198,2,1,41,1,1,1
198,2,1,0,1,2,0
201,3,0,141,3,2,1
204,4,0,0,1,5,0
198,3,1,0,1,2,0
223,2,1,30,1,4,1
209,6,0,0,1,3,1
222,4,1,0,1,1,0
190,4,1,0,2,3,1
4,4,0,82,2,3,1
220,4,1,0,1,2,0
208,1,1,0,1,3,0
217,2,0,0,1,2,0
206,3,0,0,1,3,0
204,4,0,0,1,3,0
78,6,1,0,1,1,0
220,1,1,0,1,3,0
213,3,1,0,1,3,0
209,4,1,41,1,1,1
204,5,0,0,1,3,0
212,3,0,0,1,3,0
220,3,1,0,1,3,0
217,4,1,0,1,3,0
217,4,0,124,1,3,1
215,3,0,0,1,3,0
200,5,0,0,1,3,0
214,1,1,0,1,1,0
204,3,1,0,1,1,1
191,5,0,0,1,0,0
45,2,0,0,0,1,0
227,5,1,0,1,1,0
145,1,1,0,1,1,1
227,3,0,0,0,1,0
150,4,1,0,1,2,1
146,2,1,0,1,2,1
191,2,0,0,1,1,0
206,3,0,0,1,3,0
222,1,0,0,1,1,0
131,2,0,0,2,1,0
110,4,0,0,1,2,0
49,1,1,82,2,3,1
68,3,0,0,1,3,0
175,3,1,82,2,3,1
122,4,1,82,1,2,1
61,4,0,0,1,0,0
155,2,1,141,2,4,1
0,3,1,107,1,2,1
75,4,0,141,1,4,1
83,3,0,141,1,3,1
156,4,0,0,2,3,1
57,3,0,0,1,2,0
60,5,1,0,1,2,0
111,4,0,0,1,1,0
110,1,1,0,1,1,0
59,4,1,0,1,3,1
63,4,0,58,1,1,1
123,3,1,0,1,3,1
177,2,0,57,1,2,1
65,2,1,0,1,1,0
63,2,0,0,1,1,0
53,4,0,0,1,1,0
54,4,1,0,1,2,0
86,4,1,0,1,1,0
52,3,0,0,1,4,0
123,1,0,0,1,1,0
49,4,0,0,1,1,0
63,3,0,0,1,2,0
56,2,0,0,1,1,0
62,3,1,0,1,3,0
60,2,0,82,1,1,1
70,2,1,0,1,2,1
110,3,1,0,1,1,0
121,4,0,0,1,3,0
123,2,0,0,1,1,0
68,1,1,0,1,3,0
111,5,0,0,1,3,0
119,2,1,0,1,2,1
84,3,1,95,1,2,1
51,3,0,99,1,3,1
50,2,1,82,1,2,1
164,1,0,175,2,3,1
68,2,1,0,1,1,0
57,3,1,0,1,3,0
111,4,1,0,1,3,0
49,4,1,106,1,3,1
123,1,1,30,1,1,1
68,4,0,0,1,3,0
61,1,0,0,1,1,0
53,3,1,0,1,2,0
4,2,0,148,1,3,1
54,1,1,25,1,3,1
114,1,1,0,1,2,0
202,5,1,0,0,5,1
109,4,0,0,1,3,0
68,4,1,0,1,1,1
123,4,0,0,1,3,0
54,5,0,0,1,1,0
97,2,0,0,1,3,0
57,5,1,0,1,2,0
53,4,1,0,1,1,0
57,5,0,0,1,1,0
175,2,0,0,1,1,0
199,3,0,0,2,3,0
54,2,1,0,1,2,0
62,4,1,0,1,1,0
53,4,0,0,1,3,0
60,2,0,0,1,4,0
175,2,1,99,2,3,1
54,4,0,0,1,5,0
110,3,0,0,1,1,0
113,3,0,0,1,2,0
68,4,1,0,1,3,0
54,4,0,0,1,3,0
75,2,0,30,1,1,1
123,6,1,0,1,3,1
123,5,0,0,1,0,0
114,1,0,0,1,0,1
201,3,0,124,2,3,1
52,2,0,0,1,1,0
68,3,1,0,1,3,1
68,3,0,0,1,3,0
49,2,1,0,1,1,1
50,4,1,0,1,1,1
123,4,1,0,1,3,0
68,2,1,0,1,0,1
125,3,0,25,2,0,1
4,4,0,0,1,0,0
201,5,1,0,0,3,1
146,4,0,89,2,3,1
89,2,1,0,1,1,0
68,3,0,49,1,3,1
202,1,1,67,2,3,1
89,3,1,0,1,1,0
89,2,1,0,1,1,0
61,2,0,0,1,0,0
53,4,1,0,1,2,0
68,3,0,0,1,2,0
109,1,1,0,1,0,0
123,2,1,0,1,1,0
110,4,1,0,1,2,0
52,4,0,0,1,0,0
119,2,0,0,1,0,1
56,4,0,58,1,3,1
110,3,0,0,1,3,0
123,4,1,0,1,3,0
102,2,0,58,1,1,1
109,3,1,0,1,3,0
202,2,0,106,2,1,1
68,1,0,0,1,1,0
54,2,0,25,1,1,1
113,2,1,0,1,2,1
66,3,1,0,1,3,0
54,4,0,0,1,1,0
68,4,1,0,1,3,0
54,3,1,0,1,1,0
53,2,1,0,1,3,0
60,4,0,0,1,2,0
63,3,0,183,1,3,1
110,1,0,25,1,3,1
89,2,1,183,1,3,1
54,1,1,58,1,4,1
123,3,1,106,1,3,1
49,4,0,11,1,3,1
141,3,1,0,1,1,0
122,4,1,25,1,2,1
53,5,0,0,1,4,0
80,2,1,82,1,4,1
168,4,0,36,2,2,1
53,3,0,58,1,3,1
119,1,0,67,1,1,1
106,2,1,0,2,2,1
201,2,0,118,3,3,1
56,3,1,71,2,3,1
54,5,0,77,1,5,1
54,5,0,0,1,5,0
113,4,1,0,1,3,0
89,1,0,0,1,3,0
114,2,1,0,1,0,1
49,3,1,67,1,3,1
89,4,0,0,1,3,0
110,2,0,0,1,1,0
68,2,1,0,1,1,0
52,5,1,0,1,1,0
201,1,0,0,2,1,1
54,1,1,0,1,1,1
123,4,0,80,1,3,1
89,3,1,0,1,1,0
54,4,0,41,1,1,1
77,2,1,99,2,1,1
77,5,1,0,1,3,1
86,3,1,0,1,3,1
114,2,0,0,1,2,1
123,3,0,0,1,4,1
89,6,0,0,1,3,0
120,3,0,0,1,1,0
119,3,1,0,1,3,0
61,6,1,0,1,2,1
68,2,0,0,1,3,0
53,4,1,106,1,3,1
68,2,1,0,1,1,0
89,5,0,0,1,1,0
202,5,1,199,4,5,1
202,2,1,0,0,3,1
68,3,0,0,1,3,0
49,3,1,5,1,3,1
68,2,1,0,1,1,0
68,4,1,0,1,3,0
57,2,0,0,1,1,0
57,3,0,0,1,1,0
53,4,0,0,1,1,0
63,1,0,0,1,1,0
55,3,0,0,1,1,0
49,1,1,0,1,1,0
63,4,1,0,1,1,0
59,3,1,0,1,2,0
62,2,0,0,1,1,0
68,2,1,0,1,1,0
108,4,1,0,1,5,1
111,2,0,0,1,5,1
54,5,1,0,1,0,1
13,4,1,67,2,3,1
59,2,0,0,1,2,0
116,5,0,0,1,1,0
114,2,1,0,1,0,1
89,4,1,0,1,1,0
123,2,0,0,1,0,1
201,4,0,0,0,3,1
59,1,0,0,1,1,0
119,3,0,0,1,1,0
202,4,1,177,3,4,1
61,4,0,0,1,2,0
172,3,0,58,1,1,1
52,4,0,0,1,0,0
81,3,1,58,1,3,1
62,3,1,0,1,2,0
53,3,0,0,1,2,0
68,2,0,0,1,1,0
57,1,0,67,1,1,1
89,1,1,106,1,3,1
52,4,0,0,1,1,0
26,2,0,0,1,2,0
68,2,1,9,1,3,1
97,3,1,0,1,3,1
53,4,0,0,1,1,1
61,2,0,0,1,0,1
123,1,1,0,1,1,0
68,3,0,0,1,3,0
57,4,1,0,1,3,0
123,2,0,0,1,1,0
63,2,0,0,1,1,0
114,2,1,0,1,3,0
62,3,1,0,1,1,0
49,5,0,0,1,2,0
114,4,0,0,1,1,0
57,5,1,0,1,3,0
56,2,1,0,1,2,0
54,2,0,0,1,2,0
123,5,1,0,1,2,0
110,5,0,0,1,1,0
68,5,1,0,1,1,0
54,4,0,0,1,3,0
49,2,0,114,1,1,1
63,1,0,0,1,1,1
114,1,1,0,1,2,0
49,2,0,67,1,1,1
18,3,0,107,1,2,1
54,5,1,106,1,3,1
123,4,0,0,1,4,0
63,4,0,0,1,1,0
59,2,1,0,1,2,0
63,2,0,0,1,1,0
53,4,1,0,2,2,0
49,4,1,0,1,1,0
57,5,0,0,1,2,0
50,1,0,0,1,2,0
62,1,1,0,1,1,0
66,3,0,0,1,2,0
123,2,0,0,1,1,0
65,2,1,0,1,1,0
123,3,0,0,1,1,0
110,3,1,0,1,2,0
68,2,1,0,1,1,1
49,2,1,0,1,1,1
202,3,0,0,2,1,1
77,4,1,0,1,1,0
68,1,0,0,1,2,1
53,3,1,0,1,1,1
109,4,0,0,1,1,0
110,3,1,99,1,2,1
54,4,0,0,1,1,0
68,5,0,82,1,4,1
63,1,1,82,1,2,1
66,2,0,25,1,2,1
8,3,0,106,1,3,1
123,2,1,25,1,3,1
110,5,0,0,1,9,0
49,3,1,17,1,3,1
123,1,0,0,1,1,0
134,2,0,58,1,3,1
66,5,1,0,1,2,0
57,3,0,0,1,3,0
49,4,1,67,1,3,1
68,3,1,0,1,3,0
146,3,1,58,2,1,1
68,2,1,67,2,3,1
0,4,0,82,2,1,1
118,4,1,0,1,1,0
57,5,1,0,1,3,0
175,2,0,106,1,3,1
98,3,1,17,1,3,1
96,4,0,17,1,3,1
66,2,0,67,1,1,1
53,5,0,0,1,3,0
68,2,1,35,1,1,1
49,3,0,74,1,2,1
202,2,0,124,2,1,1
68,1,1,0,1,2,0
121,2,1,0,1,2,0
77,4,1,0,1,1,0
110,3,0,123,1,2,1
122,4,0,0,1,4,0
98,5,1,0,1,1,0
63,3,1,0,1,3,0
116,2,0,0,1,1,0
68,3,0,0,1,2,0
68,2,1,0,1,2,0
68,2,0,0,1,2,0
119,1,1,0,1,1,0
54,4,0,0,1,1,0
114,3,0,0,1,1,0
177,2,0,67,1,3,1
60,4,1,63,2,3,1
201,4,0,0,0,2,1
53,4,1,67,2,3,1
121,3,0,0,1,3,0
53,2,0,0,1,1,1
157,2,1,0,1,1,1
61,4,0,0,1,0,0
177,5,0,0,2,3,0
19,3,0,0,2,0,1
77,4,1,141,2,4,1
122,3,1,0,1,3,1
53,5,1,0,1,2,0
56,2,1,0,1,1,0
175,5,0,0,1,3,0
115,4,1,0,1,1,0
60,4,0,0,1,3,0
70,3,0,0,1,1,0
68,2,0,0,1,2,0
57,2,1,67,1,3,1
86,2,0,0,1,1,0
63,3,0,0,1,3,0
54,1,0,63,1,3,1
201,4,1,0,0,3,1
72,4,0,0,2,2,1
103,3,0,0,2,3,1
81,3,1,0,1,3,1
73,4,0,0,1,2,0
135,3,0,106,1,3,1
198,2,0,78,1,1,1
89,3,0,0,1,1,0
68,4,1,0,1,3,0
110,4,0,0,1,0,0
49,3,1,30,1,3,1
73,2,1,0,1,2,1
113,3,0,0,1,3,1
2,4,0,11,1,0,1
68,4,0,166,1,3,1
114,3,0,0,1,3,1
123,3,1,0,1,1,0
68,4,0,0,1,2,0
176,5,1,0,0,36,1
123,5,1,0,1,3,0
120,2,0,0,1,1,0
198,1,1,60,1,1,1
57,4,1,0,1,2,0
68,2,0,0,1,1,0
109,4,1,0,1,1,0
68,3,1,0,1,1,0
68,4,0,0,1,3,0
