성별,나이,거주지,여행유형,월별,동반자,여행지(시/도),여행지(시/군/구),숙박여부,여행비용
  여자,  60대,  서울,단순관광,  7월,가족,경기도,포천시,0,20만원 이상 30만원 미만
  남자,  40대,  서울,단순관광,  8월,가족,경기도,양주시,0,10만원 이상 20만원 미만
  여자,  30대,  서울,단순관광,  8월,친구/연인,경기도,연천군,0,20만원 이상 30만원 미만
  남자,  30대,  서울,단순관광,  8월,친구/연인,대구광역시,달성군,1,30만원 이상
  남자,  30대,  서울,단순관광,  2월,친구/연인,강원도,속초시,1,30만원 이상
  여자,  50대,  서울,단순관광,  2월,가족,충청남도,서산시,1,20만원 이상 30만원 미만
  여자,  30대,  서울,단순관광,  2월,친구/연인,강원도,속초시,1,30만원 이상
  남자,  20대,  서울,단순관광,  2월,친구/연인,인천광역시,강화군,0,10만원 이상 20만원 미만
  여자,  20대,  서울,단순가족/친지/친구방문,  2월,없음,경기도,연천군,0,10만원 이상 20만원 미만
  남자,  40대,  서울,단순가족/친지/친구방문,  2월,없음,대전광역시,동구,0,10만원 이상 20만원 미만
  남자,  50대,  서울,단순가족/친지/친구방문,  2월,없음,경기도,화성시,0,10만원 이상 20만원 미만
  남자,  20대,  서울,단순관광,  9월,친구/연인,경기도,파주시,0,10만원 이상 20만원 미만
  남자,  30대,  서울,단순관광,  10월,가족,경기도,고양시,1,10만원 이상 20만원 미만
  여자,  20대,  서울,단순관광,  10월,친구/연인,경기도,가평군,0,10만원 이상 20만원 미만
  여자,  70세이상,  서울,단순관광,  10월,가족,경기도,포천시,0,10만원 이상 20만원 미만
  여자,  40대,  서울,단순관광,  3월,가족,강원도,속초시,1,20만원 이상 30만원 미만
  남자,  40대,  서울,단순관광,  3월,가족,강원도,양양군,0,20만원 이상 30만원 미만
  여자,  20대,  서울,단순관광,  3월,친구/연인,경기도,남양주시,0,10만원 이상 20만원 미만
  남자,  30대,  서울,가족/친지/친구방문(관광포함),  4월,친구/연인,강원도,양양군,0,20만원 이상 30만원 미만
  여자,  20대,  서울,가족/친지/친구방문(관광포함),  4월,친구/연인,경기도,양평군,0,10만원 이상 20만원 미만
  남자,  70세이상,  서울,단순관광,  4월,친구/연인,경기도,양평군,0,10만원 미만
  남자,  20대,  서울,가족/친지/친구방문(관광포함),  4월,가족,전라남도,순천시,0,10만원 이상 20만원 미만
  남자,  50대,  서울,단순가족/친지/친구방문,  12월,없음,경기도,의정부시,0,10만원 이상 20만원 미만
  여자,  30대,  서울,단순관광,  12월,친구/연인,경기도,용인시,0,10만원 미만
  여자,  20대,  서울,가족/친지/친구방문(관광포함),  12월,없음,강원도,강릉시,1,10만원 이상 20만원 미만
  남자,  40대,  서울,단순가족/친지/친구방문,  12월,없음,경기도,평택시,0,20만원 이상 30만원 미만
  남자,  30대,  서울,단순관광,  1월,친구/연인,인천광역시,중구,0,20만원 이상 30만원 미만
  남자,  40대,  서울,단순관광,  1월,가족,인천광역시,강화군,0,10만원 이상 20만원 미만
  여자,  60대,  서울,단순관광,  1월,가족,경기도,용인시,0,10만원 이상 20만원 미만
  여자,  40대,  서울,단순관광,  5월,가족,강원도,원주시,0,20만원 이상 30만원 미만
  여자,  20대,  서울,단순관광,  6월,친구/연인,경기도,이천시,0,10만원 미만
  여자,  60대,  서울,단순관광,  6월,친구/연인,강원도,삼척시,0,10만원 미만
  남자,  40대,  서울,단순관광,  6월,친구/연인,인천광역시,강화군,0,10만원 미만
  여자,  40대,  서울,단순관광,  6월,친구/연인,전라북도,고창군,0,10만원 미만
  여자,  30대,  서울,출장/업무(관광포함),  6월,없음,세종특별자치시,세종시,0,10만원 이상 20만원 미만
  남자,  15~19세,  서울,단순관광,  2월,가족,충청남도,서천군,1,20만원 이상 30만원 미만
  남자,  30대,  서울,단순관광,  7월,가족,강원도,횡성군,1,30만원 이상
  여자,  30대,  서울,단순가족/친지/친구방문,  7월,없음,경기도,남양주시,1,10만원 이상 20만원 미만
  여자,  50대,  서울,단순가족/친지/친구방문,  3월,없음,경기도,용인시,0,10만원 이상 20만원 미만
  여자,  30대,  서울,단순관광,  3월,가족,전라남도,순천시,1,30만원 이상
  남자,  40대,  서울,단순관광,  3월,가족,강원도,강릉시,1,30만원 이상
  남자,  20대,  서울,단순관광,  3월,친구/연인,경기도,가평군,1,20만원 이상 30만원 미만
  남자,  70세이상,  서울,단순가족/친지/친구방문,  8월,없음,경기도,의정부시,0,10만원 미만
  여자,  40대,  서울,단순관광,  4월,가족,경상북도,경주시,1,30만원 이상
  여자,  30대,  서울,단순관광,  4월,가족,인천광역시,강화군,1,30만원 이상
  남자,  40대,  서울,단순가족/친지/친구방문,  9월,없음,경기도,양주시,1,20만원 이상 30만원 미만
  여자,  40대,  서울,단순관광,  5월,친구/연인,충청남도,태안군,0,10만원 미만
  남자,  60대,  서울,단순관광,  5월,없음,강원도,철원군,0,10만원 미만
  여자,  60대,  서울,단순관광,  5월,친구/연인,강원도,삼척시,0,10만원 미만
  여자,  50대,  서울,가족/친지/친구방문(관광포함),  5월,친구/연인,강원도,춘천시,0,10만원 미만
  여자,  20대,  서울,단순관광,  5월,친구/연인,강원도,원주시,0,10만원 미만
  남자,  40대,  서울,가족/친지/친구방문(관광포함),  10월,가족,전라남도,고흥군,1,30만원 이상
  여자,  40대,  서울,단순가족/친지/친구방문,  10월,없음,경기도,포천시,0,20만원 이상 30만원 미만
  남자,  60대,  서울,단순가족/친지/친구방문,  10월,없음,경기도,양주시,0,10만원 이상 20만원 미만
  여자,  40대,  서울,단순관광,  6월,가족,경기도,남양주시,0,10만원 이상 20만원 미만
  남자,  20대,  서울,단순가족/친지/친구방문,  6월,없음,경기도,수원시,0,10만원 이상 20만원 미만
  남자,  60대,  서울,단순가족/친지/친구방문,  6월,없음,경기도,성남시,0,10만원 미만
  남자,  30대,  서울,단순관광,  6월,가족,경기도,양평군,0,10만원 미만
  여자,  50대,  서울,가족/친지/친구방문(관광포함),  6월,친구/연인,강원도,홍천군,1,30만원 이상
  여자,  70세이상,  서울,단순가족/친지/친구방문,  6월,없음,경기도,구리시,0,10만원 미만
  여자,  60대,  서울,단순관광,  6월,가족,경기도,남양주시,0,10만원 미만
  여자,  60대,  서울,단순관광,  7월,가족,전라남도,담양군,0,20만원 이상 30만원 미만
