성별,나이,거주지,여행유형,월별,동반자,여행지(시/도),여행지(시/군/구),숙박여부,여행비용
  남자,  40대,  서울,단순출장/업무,  10월,없음,울산광역시,남구,0,30만원 이상
  여자,  50대,  서울,단순관광,  10월,가족,대구광역시,동구,1,10만원 이상 20만원 미만
  남자,  50대,  서울,단순관광,  10월,친구/연인,경기도,성남시,0,30만원 이상
  여자,  20대,  서울,단순관광,  10월,친구/연인,경기도,수원시,0,10만원 미만
  여자,  50대,  서울,단순관광,  10월,가족,경상북도,영주시,1,30만원 이상
  여자,  15~19세,  서울,가족/친지/친구방문(관광포함),  4월,가족,경기도,양평군,0,10만원 이상 20만원 미만
  여자,  50대,  서울,단순관광,  4월,친구/연인,강원도,원주시,0,10만원 미만
  남자,  20대,  서울,단순관광,  4월,친구/연인,경기도,하남시,0,10만원 미만
  여자,  50대,  서울,단순관광,  11월,가족,강원도,홍천군,0,20만원 이상 30만원 미만
  여자,  30대,  서울,단순관광,  11월,가족,강원도,춘천시,0,30만원 이상
  남자,  60대,  서울,단순관광,  11월,친구/연인,부산광역시,해운대구,1,30만원 이상
  남자,  20대,  서울,단순관광,  11월,친구/연인,강원도,속초시,1,30만원 이상
  남자,  30대,  서울,가족/친지/친구방문(관광포함),  12월,없음,충청북도,진천군,1,30만원 이상
  여자,  50대,  서울,단순관광,  12월,가족,경기도,파주시,0,10만원 미만
  남자,  30대,  서울,단순관광,  12월,친구/연인,강원도,속초시,1,30만원 이상
  남자,  50대,  서울,단순관광,  12월,가족,경기도,성남시,0,10만원 이상 20만원 미만
  여자,  50대,  서울,단순관광,  5월,가족,강원도,원주시,0,10만원 미만
  남자,  30대,  서울,가족/친지/친구방문(관광포함),  5월,가족,경기도,남양주시,0,10만원 이상 20만원 미만
  남자,  60대,  서울,가족/친지/친구방문(관광포함),  5월,가족,세종특별자치시,세종시,1,10만원 이상 20만원 미만
  남자,  40대,  서울,단순관광,  6월,가족,제주특별자치도,제주시,1,30만원 이상
  여자,  30대,  서울,단순관광,  6월,가족,경기도,양평군,1,20만원 이상 30만원 미만
  여자,  60대,  서울,단순관광,  6월,친구/연인,경상남도,고성군,0,10만원 미만
  남자,  30대,  서울,단순관광,  6월,가족,경기도,연천군,0,10만원 미만
  여자,  40대,  서울,가족/친지/친구방문(관광포함),  6월,가족,경기도,하남시,0,10만원 미만
  여자,  60대,  서울,단순관광,  6월,가족,강원도,속초시,1,30만원 이상
  여자,  20대,  서울,가족/친지/친구방문(관광포함),  6월,친구/연인,강원도,홍천군,0,10만원 이상 20만원 미만
  여자,  50대,  서울,단순관광,  1월,가족,인천광역시,중구,0,10만원 이상 20만원 미만
  여자,  60대,  서울,단순관광,  1월,가족,강원도,속초시,1,30만원 이상
  여자,  30대,  서울,단순관광,  1월,친구/연인,강원도,춘천시,0,20만원 이상 30만원 미만
  여자,  20대,  서울,단순관광,  7월,친구/연인,경기도,용인시,0,10만원 이상 20만원 미만
