ID,SA1_1,BINC1,DQ7
1102068071A_328525,0,  600만원 이상,보유하고 있음
1102068071A_328532,1,  400~500만원미만,보유하고 있음
11020690861_505004,1,  300~400만원미만,보유하고 있음
11020690861_505016,0,  600만원 이상,보유하고 있음
11020690861_505020,1,  500~600만원미만,보유하고 있음
11020690861_505021,0,  100~200만원미만,보유하지 않음
11020690861_505026,1,  500~600만원미만,보유하고 있음
11020690861_505028,0,  200~300만원미만,보유하지 않음
11020690861_505029,1,  500~600만원미만,보유하지 않음
11020690861_505034,0,  300~400만원미만,보유하지 않음
11020690861_505047,1,  300~400만원미만,보유하지 않음
11020690861_505082,0,  200~300만원미만,보유하지 않음
11020710291_530331,1,  600만원 이상,보유하고 있음
11020710291_530335,1,  600만원 이상,보유하고 있음
11020710291_530337,1,  600만원 이상,보유하고 있음
11020710291_530338,1,  200~300만원미만,보유하지 않음
11020710291_530341,0,  300~400만원미만,보유하고 있음
11020710291_530347,0,  200~300만원미만,보유하지 않음
11020710291_530348,0,  300~400만원미만,보유하고 있음
11020710291_530351,0,  200~300만원미만,보유하지 않음
11020710291_530364,1,  600만원 이상,보유하고 있음
11020710291_530376,0,  300~400만원미만,보유하고 있음
1102072086A_354018,1,  500~600만원미만,보유하고 있음
1102072086A_354019,0,  600만원 이상,보유하고 있음
1102072086A_354020,0,  100만원미만,보유하지 않음
1102072086A_354021,0,  400~500만원미만,보유하고 있음
1102072086A_354023,1,  400~500만원미만,보유하고 있음
1102072086A_354025,0,  600만원 이상,보유하고 있음
1102072086A_354027,0,  600만원 이상,보유하고 있음
1102072086A_354047,1,  200~300만원미만,보유하고 있음
1102072086A_354054,1,  500~600만원미만,보유하고 있음
1102072086A_354061,0,  100만원미만,보유하지 않음
1102072086A_354068,0,  600만원 이상,보유하고 있음
11030510861_555920,0,  600만원 이상,보유하고 있음
11030510861_555923,0,  300~400만원미만,보유하지 않음
11030510861_555924,1,  600만원 이상,보유하고 있음
11030510861_555926,1,  600만원 이상,보유하고 있음
11030510861_555927,1,  600만원 이상,보유하고 있음
11030510861_555929,0,  200~300만원미만,보유하지 않음
11030510861_555938,1,  300~400만원미만,보유하고 있음
11030510861_555955,1,  600만원 이상,보유하고 있음
11030510861_555961,0,  300~400만원미만,보유하지 않음
11030510861_555967,0,  600만원 이상,보유하고 있음
11030530041_277646,0,  600만원 이상,보유하고 있음
11030530041_277648,1,  300~400만원미만,보유하고 있음
11030530041_277649,0,  200~300만원미만,보유하고 있음
11030530041_277652,1,  600만원 이상,보유하고 있음
11030530041_277654,1,  600만원 이상,보유하고 있음
11030530041_277658,0,  600만원 이상,보유하고 있음
11030530041_277663,0,  500~600만원미만,보유하고 있음
11030530041_277666,1,  600만원 이상,보유하고 있음
11030530041_277667,0,  600만원 이상,보유하고 있음
11030530041_277680,1,  600만원 이상,보유하고 있음
11030580461_302626,0,  600만원 이상,보유하고 있음
11030580461_302628,0,  500~600만원미만,보유하고 있음
11030580461_302632,1,  600만원 이상,보유하고 있음
11030580461_302635,1,  600만원 이상,보유하고 있음
11030580461_302636,0,  400~500만원미만,보유하고 있음
11030580461_302637,1,  600만원 이상,보유하고 있음
11030580461_302640,0,  300~400만원미만,보유하고 있음
11030580461_302645,0,  600만원 이상,보유하고 있음
11030580461_302651,0,  600만원 이상,보유하고 있음
11030580461_302661,1,  600만원 이상,보유하고 있음
11030580461_302671,1,  500~600만원미만,보유하고 있음
1103059036A_378887,0,  500~600만원미만,보유하고 있음
1103059036A_378891,1,  600만원 이상,보유하고 있음
1103059036A_378893,1,  600만원 이상,보유하고 있음
1103059036A_378897,0,  600만원 이상,보유하고 있음
1103059036A_378900,1,  600만원 이상,보유하고 있음
1103059036A_378903,0,  200~300만원미만,보유하지 않음
1103059036A_378908,1,  500~600만원미만,보유하고 있음
1103059036A_378911,1,  600만원 이상,보유하고 있음
1103059036A_378912,1,  400~500만원미만,보유하고 있음
1103059036A_378916,1,  600만원 이상,보유하고 있음
1103059036A_378920,1,  600만원 이상,보유하고 있음
1103059036A_378946,0,  500~600만원미만,보유하고 있음
1103059036A_378954,1,  300~400만원미만,보유하고 있음
11030590681_429097,0,  200~300만원미만,보유하지 않음
11030590681_429098,1,  600만원 이상,보유하고 있음
11030590681_429100,0,  600만원 이상,보유하고 있음
11030590681_429101,0,  300~400만원미만,보유하고 있음
11030590681_429104,1,  600만원 이상,보유하고 있음
11030590681_429107,1,  600만원 이상,보유하고 있음
11030590681_429108,1,  600만원 이상,보유하고 있음
11030590681_429111,0,  400~500만원미만,보유하고 있음
11030590681_429113,1,  600만원 이상,보유하고 있음
11030590681_429124,0,  300~400만원미만,보유하고 있음
1103064015A_404386,1,  600만원 이상,보유하고 있음
1103064015A_404388,0,  500~600만원미만,보유하고 있음
1103064015A_404390,0,  200~300만원미만,보유하지 않음
1103064015A_404394,1,  600만원 이상,보유하고 있음
1103064015A_404395,0,  600만원 이상,보유하고 있음
1103064015A_404398,1,  500~600만원미만,보유하고 있음
1103064015A_404399,1,  600만원 이상,보유하고 있음
1103064015A_404404,0,  600만원 이상,보유하고 있음
1103064015A_404405,1,  500~600만원미만,보유하고 있음
1103064015A_404407,0,  600만원 이상,보유하고 있음
11030660011_328535,0,  600만원 이상,보유하고 있음
11030660011_328540,0,  600만원 이상,보유하고 있음
11030660011_328541,1,  600만원 이상,보유하고 있음
11030660011_328544,1,  600만원 이상,보유하고 있음
11030660011_328545,0,  100~200만원미만,보유하지 않음
11030660011_328550,1,  600만원 이상,보유하고 있음
11030660011_328553,0,  600만원 이상,보유하고 있음
11030660011_328569,1,  600만원 이상,보유하고 있음
11030660011_328572,1,  600만원 이상,보유하고 있음
11030660011_328583,0,  600만원 이상,보유하고 있음
11030700301_354088,0,  300~400만원미만,보유하고 있음
11030700301_354092,1,  300~400만원미만,보유하고 있음
11030700301_354095,0,  500~600만원미만,보유하고 있음
11030700301_354097,0,  200~300만원미만,보유하지 않음
11030700301_354100,1,  600만원 이상,보유하고 있음
11030700301_354104,1,  600만원 이상,보유하고 있음
11030700301_354114,1,  600만원 이상,보유하고 있음
11030700301_354122,1,  600만원 이상,보유하고 있음
11030700301_354130,1,  600만원 이상,보유하고 있음
11030700301_354154,0,  300~400만원미만,보유하고 있음
11030710441_378971,0,  600만원 이상,보유하고 있음
11030710441_378975,0,  100~200만원미만,보유하지 않음
11030710441_378978,0,  200~300만원미만,보유하고 있음
11030710441_378979,1,  300~400만원미만,보유하고 있음
11030710441_378980,1,  600만원 이상,보유하고 있음
11030710441_378981,1,  600만원 이상,보유하고 있음
11030710441_378982,1,  600만원 이상,보유하고 있음
11030710441_378990,1,  500~600만원미만,보유하고 있음
11030710441_378991,1,  600만원 이상,보유하고 있음
11030710441_379018,0,  400~500만원미만,보유하고 있음
1103073014A_429474,1,  600만원 이상,보유하고 있음
1103073014A_429475,0,  600만원 이상,보유하고 있음
1103073014A_429478,1,  600만원 이상,보유하고 있음
1103073014A_429482,0,  200~300만원미만,보유하지 않음
1103073014A_429483,0,  600만원 이상,보유하고 있음
1103073014A_429487,1,  600만원 이상,보유하고 있음
1103073014A_429492,1,  600만원 이상,보유하고 있음
1103073014A_429503,1,  300~400만원미만,보유하지 않음
1103073014A_429517,0,  500~600만원미만,보유하고 있음
1103073014A_429531,0,  500~600만원미만,보유하고 있음
11030740701_429545,1,  600만원 이상,보유하고 있음
11030740701_429548,0,  100~200만원미만,보유하지 않음
11030740701_429550,1,  500~600만원미만,보유하고 있음
11030740701_429552,0,  300~400만원미만,보유하고 있음
11030740701_429559,0,  600만원 이상,보유하고 있음
11030740701_429564,1,  400~500만원미만,보유하고 있음
11030740701_429570,1,  600만원 이상,보유하고 있음
11030740701_429594,1,  600만원 이상,보유하고 있음
11030740701_429602,0,  600만원 이상,보유하고 있음
1104052087A_277692,1,  600만원 이상,보유하고 있음
1104052087A_277697,0,  300~400만원미만,보유하고 있음
1104052087A_277705,0,  100만원미만,보유하지 않음
1104052087A_277708,0,  600만원 이상,보유하고 있음
1104052087A_277711,1,  400~500만원미만,보유하고 있음
1104052087A_277715,0,  500~600만원미만,보유하고 있음
1104052087A_277718,0,  100만원미만,보유하지 않음
1104052087A_277721,0,  600만원 이상,보유하고 있음
1104052087A_277736,0,  300~400만원미만,보유하고 있음
1104052087A_277754,0,  100만원미만,보유하지 않음
1104052087A_277772,1,  400~500만원미만,보유하고 있음
11040540081_277778,1,  500~600만원미만,보유하고 있음
11040540081_277779,0,  200~300만원미만,보유하지 않음
11040540081_277782,0,  400~500만원미만,보유하고 있음
11040540081_277785,0,  200~300만원미만,보유하고 있음
11040540081_277789,0,  500~600만원미만,보유하고 있음
11040540081_277790,0,  400~500만원미만,보유하고 있음
11040540081_277796,0,  200~300만원미만,보유하지 않음
11040540081_277803,0,  300~400만원미만,보유하고 있음
11040540081_277808,0,  500~600만원미만,보유하고 있음
11040540081_277818,0,  400~500만원미만,보유하고 있음
11040550831_302679,0,  100~200만원미만,보유하지 않음
11040550831_302683,1,  500~600만원미만,보유하고 있음
11040550831_302685,0,  600만원 이상,보유하고 있음
11040550831_302691,1,  600만원 이상,보유하고 있음
11040550831_302693,0,  500~600만원미만,보유하고 있음
11040550831_302697,0,  400~500만원미만,보유하고 있음
11040550831_302698,0,  600만원 이상,보유하고 있음
11040550831_302699,0,  600만원 이상,보유하고 있음
11040550831_302703,0,  600만원 이상,보유하고 있음
11040550831_302717,0,  500~600만원미만,보유하고 있음
1104055115A_302728,0,  500~600만원미만,보유하고 있음
1104055115A_302736,1,  500~600만원미만,보유하고 있음
1104055115A_302751,0,  500~600만원미만,보유하고 있음
1104055115A_302755,1,  600만원 이상,보유하고 있음
1104055115A_302756,0,  500~600만원미만,보유하고 있음
1104055115A_302757,0,  600만원 이상,보유하고 있음
1104055115A_302765,1,  400~500만원미만,보유하고 있음
1104055115A_302772,1,  500~600만원미만,보유하고 있음
1104055115A_302779,0,  300~400만원미만,보유하고 있음
1104055115A_302781,0,  300~400만원미만,보유하지 않음
1104055115A_302787,0,  500~600만원미만,보유하지 않음
1104057069A_328587,0,  600만원 이상,보유하고 있음
1104057069A_328594,1,  600만원 이상,보유하고 있음
1104057069A_328600,0,  500~600만원미만,보유하지 않음
1104057069A_328602,0,  500~600만원미만,보유하고 있음
1104057069A_328612,0,  300~400만원미만,보유하고 있음
1104057069A_328614,0,  400~500만원미만,보유하지 않음
1104057069A_328631,0,  300~400만원미만,보유하고 있음
1104057069A_328636,0,  600만원 이상,보유하고 있음
1104057069A_328650,1,  600만원 이상,보유하고 있음
1104057069A_328661,1,  600만원 이상,보유하고 있음
1104059021A_354169,0,  400~500만원미만,보유하고 있음
1104059021A_354178,1,  400~500만원미만,보유하고 있음
1104059021A_354181,1,  600만원 이상,보유하고 있음
1104059021A_354188,1,  600만원 이상,보유하고 있음
1104059021A_354191,0,  600만원 이상,보유하고 있음
1104059021A_354208,1,  400~500만원미만,보유하고 있음
1104059021A_354213,0,  400~500만원미만,보유하지 않음
1104059021A_354217,0,  600만원 이상,보유하고 있음
1104059021A_354242,0,  500~600만원미만,보유하고 있음
1104059021A_354248,0,  300~400만원미만,보유하고 있음
11040590941_328673,1,  600만원 이상,보유하고 있음
11040590941_328674,0,  400~500만원미만,보유하고 있음
11040590941_328677,1,  500~600만원미만,보유하고 있음
11040590941_328683,0,  400~500만원미만,보유하고 있음
11040590941_328690,1,  600만원 이상,보유하고 있음
11040590941_328693,0,  600만원 이상,보유하고 있음
11040590941_328696,0,  500~600만원미만,보유하고 있음
11040590941_328701,1,  300~400만원미만,보유하지 않음
11040590941_328703,0,  300~400만원미만,보유하고 있음
11040590941_328707,0,  600만원 이상,보유하고 있음
1104062079A_379031,0,  200~300만원미만,보유하지 않음
1104062079A_379034,0,  500~600만원미만,보유하고 있음
1104062079A_379045,1,  300~400만원미만,보유하고 있음
1104062079A_379046,1,  300~400만원미만,보유하지 않음
1104062079A_379056,1,  600만원 이상,보유하고 있음
1104062079A_379062,0,  500~600만원미만,보유하고 있음
1104062079A_379076,0,  500~600만원미만,보유하고 있음
1104062079A_379080,0,  400~500만원미만,보유하고 있음
1104062079A_379085,0,  600만원 이상,보유하고 있음
1104062079A_379092,0,  300~400만원미만,보유하고 있음
11040661161_354260,0,  500~600만원미만,보유하고 있음
11040661161_354261,1,  600만원 이상,보유하고 있음
11040661161_354265,0,  600만원 이상,보유하고 있음
11040661161_354266,0,  600만원 이상,보유하고 있음
11040661161_354268,0,  300~400만원미만,보유하고 있음
11040661161_354269,0,  600만원 이상,보유하고 있음
11040661161_354271,1,  600만원 이상,보유하고 있음
11040661161_354277,0,  400~500만원미만,보유하고 있음
11040661161_354303,0,  600만원 이상,보유하고 있음
11040661161_354316,0,  200~300만원미만,보유하고 있음
1104067041A_404468,0,  500~600만원미만,보유하지 않음
1104067041A_404475,1,  600만원 이상,보유하고 있음
1104067041A_404478,0,  600만원 이상,보유하고 있음
1104067041A_404480,0,  100~200만원미만,보유하지 않음
1104067041A_404487,1,  600만원 이상,보유하고 있음
1104067041A_404498,0,  300~400만원미만,보유하고 있음
1104067041A_404499,1,  600만원 이상,보유하고 있음
1104067041A_404509,0,  500~600만원미만,보유하고 있음
1104067041A_404517,0,  300~400만원미만,보유하고 있음
1104067041A_404520,0,  600만원 이상,보유하고 있음
11040690111_379097,1,  600만원 이상,보유하고 있음
11040690111_379099,1,  600만원 이상,보유하고 있음
11040690111_379103,0,  400~500만원미만,보유하고 있음
11040690111_379104,1,  600만원 이상,보유하고 있음
11040690111_379106,0,  200~300만원미만,보유하지 않음
11040690111_379110,0,  600만원 이상,보유하고 있음
11040690111_379111,0,  100만원미만,보유하지 않음
11040690111_379116,1,  500~600만원미만,보유하고 있음
11040690111_379118,1,  400~500만원미만,보유하고 있음
11040690111_379119,1,  400~500만원미만,보유하고 있음
11040690111_379124,0,  100~200만원미만,보유하지 않음
11040690111_379150,0,  200~300만원미만,보유하지 않음
11040690111_379156,0,  500~600만원미만,보유하고 있음
11040701061_404529,1,  500~600만원미만,보유하고 있음
11040701061_404540,0,  200~300만원미만,보유하지 않음
11040701061_404543,0,  500~600만원미만,보유하고 있음
11040701061_404546,1,  500~600만원미만,보유하고 있음
11040701061_404550,0,  400~500만원미만,보유하지 않음
11040701061_404563,1,  600만원 이상,보유하고 있음
11040701061_404571,0,  600만원 이상,보유하고 있음
11040701061_404588,1,  600만원 이상,보유하고 있음
11040701061_404596,0,  300~400만원미만,보유하지 않음
11040701061_404604,0,  100만원미만,보유하지 않음
1104071053A_429632,0,  200~300만원미만,보유하지 않음
1104071053A_429636,0,  600만원 이상,보유하고 있음
1104071053A_429642,0,  600만원 이상,보유하고 있음
1104071053A_429648,0,  600만원 이상,보유하고 있음
1104071053A_429649,0,  600만원 이상,보유하고 있음
1104071053A_429652,1,  500~600만원미만,보유하고 있음
1104071053A_429659,0,  400~500만원미만,보유하지 않음
1104071053A_429670,1,  500~600만원미만,보유하고 있음
1104071053A_429672,0,  500~600만원미만,보유하고 있음
1104071053A_429673,1,  600만원 이상,보유하고 있음
1104072108A_454819,0,  600만원 이상,보유하고 있음
1104072108A_454830,1,  600만원 이상,보유하고 있음
1104072108A_454832,1,  300~400만원미만,보유하고 있음
1104072108A_454843,0,  300~400만원미만,보유하고 있음
1104072108A_454851,0,  300~400만원미만,보유하고 있음
1104072108A_454867,0,  300~400만원미만,보유하지 않음
1104072108A_454874,1,  600만원 이상,보유하고 있음
1104072108A_454877,0,  300~400만원미만,보유하고 있음
1104072108A_454879,0,  200~300만원미만,보유하지 않음
1104073108A_480162,0,  600만원 이상,보유하고 있음
1104073108A_480165,0,  600만원 이상,보유하고 있음
1104073108A_480167,1,  400~500만원미만,보유하고 있음
1104073108A_480169,1,  600만원 이상,보유하고 있음
1104073108A_480178,0,  600만원 이상,보유하고 있음
1104073108A_480186,0,  600만원 이상,보유하고 있음
1104073108A_480201,0,  200~300만원미만,보유하고 있음
1104073108A_480209,0,  600만원 이상,보유하고 있음
1104073108A_480224,0,  600만원 이상,보유하고 있음
1104073108A_480231,1,  400~500만원미만,보유하고 있음
11050530101_429680,1,  400~500만원미만,보유하고 있음
